permno,date,ticker,Return B1S30,B7S30,B14S30,B28S30,B1S60,B7S60,B14S60,B28S60,IYW B1S30,B7S30.1,B14S30.1,B28S30.1,B1S60.1,B7S60.1,B14S60.1,B28S60.1
10104,2012-10-05,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-08,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-09,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-10,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-11,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-12,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-15,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-16,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-17,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-18,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-19,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-20,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-22,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-23,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-24,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-25,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-26,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-29,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-30,ORCL,,,,,,,,,,,,,,,,
10104,2012-10-31,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-01,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-02,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-03,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-05,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-06,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-07,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-08,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-09,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-12,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-13,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-14,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-15,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-16,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-19,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-20,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-21,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-23,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-26,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-27,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-28,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-29,ORCL,,,,,,,,,,,,,,,,
10104,2012-11-30,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-03,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-04,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-05,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-06,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-07,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-09,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-10,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-11,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-12,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-13,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-14,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-17,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-18,ORCL,,,,,,,,,,,,,,,,
10104,2012-12-19,ORCL,,,,,,,,,,,,,,,,
