permno,date,ticker,Return B1S30,B7S30,B14S30,B28S30,B1S60,B7S60,B14S60,B28S60,IYW B1S30,B7S30.1,B14S30.1,B28S30.1,B1S60.1,B7S60.1,B14S60.1,B28S60.1,Return B1S60,IYW B1S60,Return B7S30,IYW B7S30,Return B7S60,IYW B7S60,Return B14S30,IYW B14S30,Return B14S60,IYW B14S60,Return B28S30,IYW B28S30,Return B28S60,IYW B28S60
10104,2017-05-17,ORCL,0.02082859497588164,,,,,,,,0.002848034523228362,,,,,,,,0.14625906311874132,0.040621224476438005,0.12201633212810341,0.0031447179155242094,0.1365481912624128,0.034095509403485,0.10597051629839047,-0.02773053619379203,0.10417148815866982,0.0065362898553483414,0.12363318024443566,0.021094833018273473,0.09427031321221845,0.03904458097038437
10104,2017-05-18,ORCL,0.03204666538301257,,,,,,,,0.015375117382305336,,,,,,,,0.14263704602290503,0.035460339338746816,0.12721224537928638,0.0022183641441922315,0.12724469394209262,0.02556720807198308,0.09499897578080652,-0.03219871448661465,0.09452617201288929,0.0030581097092446607,0.13160219480464777,0.035677843286818584,0.09745422608347055,0.04427169709755432
10104,2017-05-19,ORCL,0.024647343225579547,,,,,,,,0.005684618626362568,,,,,,,,0.1346697424103446,0.03022023403484955,0.12372934887219138,-0.0055405243958466625,0.125750346137125,0.024785811960578857,0.0810339498481375,-0.052374440620222146,0.09764227005959847,-0.007911711370506636,0.1228712329965866,0.037665916123740206,0.08747540510453107,0.04634813142912763
10104,2017-05-22,ORCL,0.03972191330389078,,,,,,,,0.004490708687445264,,,,,,,,0.14433619195256256,0.03429506656951579,0.11734959473347359,-0.025478328659400484,0.11493393171160679,0.009845972508694905,0.07709068289999332,-0.0419577086279748,0.09798533426684194,-0.0033892085905617435,0.1073758692804645,0.024396928176150804,0.0656710317740015,0.01215776226617054
10104,2017-05-23,ORCL,0.12201633212810341,,,,,,,,0.0031447179155242094,,,,,,,,0.1365481912624128,0.034095509403485,0.11999101175225775,-0.013218615107943421,0.11161915815096236,0.009707237815416027,0.08441162439965522,-0.04071192099271124,0.0995057231186256,0.0011993207526068107,0.11676207123394207,0.03903167014211114,0.06464654377488738,0.019359614085328655
10104,2017-05-24,ORCL,0.12721224537928638,,,,,,,,0.0022183641441922315,,,,,,,,0.12724469394209262,0.02556720807198308,0.10597051629839047,-0.02773053619379203,0.10417148815866982,0.0065362898553483414,0.07599098644936968,-0.051280830490481315,0.09751614660990282,0.005238830075602142,0.10776730498579211,0.03254161983282394,0.05945292561817078,0.01055755487711279
10104,2017-05-25,ORCL,0.12372934887219138,,,,,,,,-0.0055405243958466625,,,,,,,,0.125750346137125,0.024785811960578857,0.09499897578080652,-0.03219871448661465,0.09452617201288929,0.0030581097092446607,0.08652569647251283,-0.042612051945211095,0.0970332590885273,0.001138108099545017,0.013750020213155032,0.02687376736802083,-0.024165643967035525,0.007812135213196694
10104,2017-05-26,ORCL,0.11977087779155057,,,,,,,,-0.007670991887990594,,,,,,,,0.13084615931964413,0.02030423040457926,0.0810339498481375,-0.052374440620222146,0.09764227005959847,-0.007911711370506636,0.10193205983352631,-0.004241639935107711,0.10653447618377805,0.032807478038182486,2.878655988636187e-05,0.02329716233819836,-0.036614890769440966,0.0004244375374941896
10104,2017-05-30,ORCL,0.10597051629839047,,,,,,,,-0.02773053619379203,,,,,,,,0.10417148815866982,0.0065362898553483414,0.08441162439965522,-0.04071192099271124,0.0995057231186256,0.0011993207526068107,0.12160933702882376,0.010998366564840493,0.07652194906821604,0.015419972069130355,0.012079088451622819,0.04797491987337266,-0.02609405012247544,0.038664025843312806
10104,2017-05-31,ORCL,0.09499897578080652,,,,,,,,-0.03219871448661465,,,,,,,,0.09452617201288929,0.0030581097092446607,0.07599098644936968,-0.051280830490481315,0.09751614660990282,0.005238830075602142,0.12363318024443566,0.021094833018273473,0.09427031321221845,0.03904458097038437,-0.004515286272466611,0.023373553625721615,-0.028390936190049242,0.028146567789530504
10104,2017-06-01,ORCL,0.0810339498481375,,,,,,,,-0.052374440620222146,,,,,,,,0.09764227005959847,-0.007911711370506636,0.08652569647251283,-0.042612051945211095,0.0970332590885273,0.001138108099545017,0.13160219480464777,0.035677843286818584,0.09745422608347055,0.04427169709755432,0.005771620738810202,0.042178828754276254,-0.01542353774633758,0.04718341490666855
