permno,date,ticker,Return B1S30,B7S30,B14S30,B28S30,B1S60,B7S60,B14S60,B28S60,IYW B1S30,B7S30.1,B14S30.1,B28S30.1,B1S60.1,B7S60.1,B14S60.1,B28S60.1
10104,2016-03-22,ORCL,,,,,,,,,,,,,,,,
10104,2016-03-23,ORCL,,,,,,,,,,,,,,,,
10104,2016-03-24,ORCL,,,,,,,,,,,,,,,,
10104,2016-03-25,ORCL,,,,,,,,,,,,,,,,
10104,2016-03-28,ORCL,,,,,,,,,,,,,,,,
10104,2016-03-29,ORCL,,,,,,,,,,,,,,,,
10104,2016-03-30,ORCL,,,,,,,,,,,,,,,,
10104,2016-03-31,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-01,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-04,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-05,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-06,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-07,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-08,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-11,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-12,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-13,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-14,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-15,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-18,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-19,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-20,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-21,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-22,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-25,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-26,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-27,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-28,ORCL,,,,,,,,,,,,,,,,
10104,2016-04-29,ORCL,,,,,,,,,,,,,,,,
10104,2016-05-02,ORCL,,,,,,,,,,,,,,,,
10104,2016-05-03,ORCL,,,,,,,,,,,,,,,,
10104,2016-05-04,ORCL,,,,,,,,,,,,,,,,
