permno,date,ticker,Return B1S30,B7S30,B14S30,B28S30,B1S60,B7S60,B14S60,B28S60,IYW B1S30,B7S30.1,B14S30.1,B28S30.1,B1S60.1,B7S60.1,B14S60.1,B28S60.1
10104,2010-06-14,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-15,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-16,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-17,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-18,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-21,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-22,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-23,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-24,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-25,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-28,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-29,ORCL,,,,,,,,,,,,,,,,
10104,2010-06-30,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-01,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-02,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-06,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-07,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-08,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-09,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-12,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-13,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-14,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-15,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-16,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-19,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-20,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-21,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-22,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-23,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-26,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-27,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-28,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-29,ORCL,,,,,,,,,,,,,,,,
10104,2010-07-30,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-02,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-03,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-04,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-05,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-06,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-09,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-10,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-11,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-12,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-13,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-16,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-17,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-18,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-19,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-20,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-23,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-24,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-25,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-26,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-27,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-30,ORCL,,,,,,,,,,,,,,,,
10104,2010-08-31,ORCL,,,,,,,,,,,,,,,,
10104,2010-09-01,ORCL,,,,,,,,,,,,,,,,
10104,2010-09-02,ORCL,,,,,,,,,,,,,,,,
10104,2010-09-03,ORCL,,,,,,,,,,,,,,,,
10104,2010-09-07,ORCL,,,,,,,,,,,,,,,,
10104,2010-09-08,ORCL,,,,,,,,,,,,,,,,
