permno,date,ticker,Return B1S30,B7S30,B14S30,B28S30,B1S60,B7S60,B14S60,B28S60,IYW B1S30,B7S30.1,B14S30.1,B28S30.1,B1S60.1,B7S60.1,B14S60.1,B28S60.1
10107,2005-12-01,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-02,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-05,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-06,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-07,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-08,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-09,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-12,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-13,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-14,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-15,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-16,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-19,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-20,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-21,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-22,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-23,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-27,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-28,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-29,MSFT,,,,,,,,,,,,,,,,
10107,2005-12-30,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-03,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-04,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-05,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-06,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-09,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-10,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-11,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-12,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-13,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-17,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-18,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-19,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-20,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-23,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-24,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-25,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-26,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-27,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-30,MSFT,,,,,,,,,,,,,,,,
10107,2006-01-31,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-01,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-02,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-03,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-06,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-08,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-09,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-10,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-13,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-14,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-15,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-16,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-17,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-21,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-22,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-23,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-24,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-27,MSFT,,,,,,,,,,,,,,,,
10107,2006-02-28,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-01,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-02,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-03,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-06,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-07,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-08,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-09,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-10,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-13,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-14,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-15,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-16,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-17,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-20,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-21,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-22,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-23,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-24,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-27,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-28,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-29,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-30,MSFT,,,,,,,,,,,,,,,,
10107,2006-03-31,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-03,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-04,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-05,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-06,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-07,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-10,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-11,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-12,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-13,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-14,MSFT,,,,,,,,,,,,,,,,
10107,2006-04-17,MSFT,,,,,,,,,,,,,,,,
