permno,date,ticker,Return B1S30,B7S30,B14S30,B28S30,B1S60,B7S60,B14S60,B28S60,IYW B1S30,B7S30.1,B14S30.1,B28S30.1,B1S60.1,B7S60.1,B14S60.1,B28S60.1
10104,2013-11-25,ORCL,,,,,,,,,,,,,,,,
10104,2013-11-26,ORCL,,,,,,,,,,,,,,,,
10104,2013-11-27,ORCL,,,,,,,,,,,,,,,,
10104,2013-11-29,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-02,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-03,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-04,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-05,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-06,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-09,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-10,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-11,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-12,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-13,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-16,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-17,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-18,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-19,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-20,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-23,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-24,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-26,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-27,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-30,ORCL,,,,,,,,,,,,,,,,
10104,2013-12-31,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-02,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-03,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-06,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-07,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-08,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-09,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-10,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-13,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-14,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-15,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-16,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-17,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-20,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-21,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-22,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-23,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-24,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-27,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-28,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-29,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-30,ORCL,,,,,,,,,,,,,,,,
10104,2014-01-31,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-03,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-04,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-05,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-06,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-07,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-10,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-11,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-12,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-13,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-14,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-17,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-18,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-19,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-20,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-21,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-24,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-25,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-26,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-27,ORCL,,,,,,,,,,,,,,,,
10104,2014-02-28,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-03,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-04,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-05,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-06,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-07,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-10,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-11,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-12,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-13,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-14,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-17,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-18,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-19,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-20,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-21,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-24,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-25,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-26,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-27,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-28,ORCL,,,,,,,,,,,,,,,,
10104,2014-03-31,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-01,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-02,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-03,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-04,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-07,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-08,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-09,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-10,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-11,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-14,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-15,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-16,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-17,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-18,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-21,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-22,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-23,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-24,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-25,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-28,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-29,ORCL,,,,,,,,,,,,,,,,
10104,2014-04-30,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-01,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-02,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-05,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-06,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-07,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-08,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-09,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-12,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-13,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-14,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-15,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-16,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-19,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-20,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-21,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-22,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-23,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-27,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-28,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-29,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-30,ORCL,,,,,,,,,,,,,,,,
10104,2014-05-31,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-02,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-03,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-04,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-05,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-06,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-09,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-10,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-11,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-12,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-13,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-16,ORCL,,,,,,,,,,,,,,,,
10104,2014-06-17,ORCL,,,,,,,,,,,,,,,,
